,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,-35305343.51145,-8057875.457875,72924000.0,0.0,
Tax Rate For Calcs,0.282443,0.236996,0.206,0.239,
Normalized EBITDA,6484000000.0,7121000000.0,7536000000.0,8089000000.0,
Total Unusual Items,-125000000.0,-34000000.0,354000000.0,-499708907.432564,
Total Unusual Items Excluding Goodwill,-125000000.0,-34000000.0,354000000.0,-499708907.432564,
Net Income From Continuing Operation Net Minority Interest,2354000000.0,3870000000.0,4445000000.0,4280000000.0,
Reconciled Depreciation,1718000000.0,493000000.0,1297000000.0,1064000000.0,
Reconciled Cost Of Revenue,8072000000.0,8071000000.0,8289000000.0,7923000000.0,
EBITDA,6359000000.0,7087000000.0,7890000000.0,8089000000.0,
EBIT,4641000000.0,6594000000.0,6593000000.0,7025000000.0,
Net Interest Income,-866000000.0,-925000000.0,-723000000.0,-556000000.0,
Interest Expense,1104000000.0,1134000000.0,951000000.0,1217000000.0,
Interest Income,210000000.0,194000000.0,201000000.0,661000000.0,
Normalized Income,2443694656.48855,3895942124.542125,4163924000.0,4280000000.0,
Net Income From Continuing And Discontinued Operation,2354000000.0,3870000000.0,4445000000.0,4280000000.0,
Total Expenses,15910000000.0,14268000000.0,15008000000.0,14619000000.0,
Rent Expense Supplemental,,,,,42904199.075484
Total Operating Income As Reported,4335000000.0,6001000000.0,5547000000.0,5897000000.0,
Diluted Average Shares,2228000000.0,2239000000.0,2271000000.0,2325000000.0,
Basic Average Shares,2222000000.0,2234000000.0,2264000000.0,2318000000.0,
Diluted EPS,1.057,1.728,2.073585,1.694401,
Basic EPS,1.059,1.732,2.079891,1.700466,
Diluted NI Availto Com Stockholders,2354000000.0,3870000000.0,4445000000.0,4280000000.0,
Net Income Common Stockholders,2354000000.0,3870000000.0,4445000000.0,4280000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2354000000.0,3870000000.0,4445000000.0,4280000000.0,
Minority Interests,-184000000.0,-296000000.0,-34000000.0,-130000000.0,
Net Income Including Noncontrolling Interests,2538000000.0,4166000000.0,4479000000.0,4410000000.0,
Net Income Continuous Operations,2538000000.0,4166000000.0,4479000000.0,4410000000.0,
Tax Provision,999000000.0,1294000000.0,1163000000.0,1398000000.0,
Pretax Income,3537000000.0,5460000000.0,5642000000.0,5808000000.0,
Other Non Operating Income Expenses,,4000000.0,21000000.0,-88000000.0,
Special Income Charges,-123000000.0,-33000000.0,353000000.0,-493644478.944304,
Other Special Charges,147000000.0,33000000.0,-353000000.0,86114884.533282,
Impairment Of Capital Assets,,,,407529594.411023,
Restructuring And Mergern Acquisition,-24000000.0,0.0,0.0,0.0,
Net Non Operating Interest Income Expense,-866000000.0,-925000000.0,-723000000.0,-556000000.0,
Total Other Finance Cost,-28000000.0,-15000000.0,-27000000.0,14554628.371822,
Interest Expense Non Operating,1104000000.0,1134000000.0,951000000.0,1217000000.0,
Interest Income Non Operating,210000000.0,194000000.0,201000000.0,661000000.0,
Operating Income,4335000000.0,6001000000.0,5547000000.0,5897000000.0,
Operating Expense,7838000000.0,6197000000.0,6719000000.0,6696000000.0,
Other Operating Expenses,4176000000.0,2506000000.0,3056000000.0,3080000000.0,
Selling General And Administration,3662000000.0,3691000000.0,3663000000.0,3616000000.0,
Selling And Marketing Expense,3662000000.0,3691000000.0,3663000000.0,3616000000.0,
Gross Profit,12173000000.0,12198000000.0,12266000000.0,12593000000.0,
Cost Of Revenue,8072000000.0,8071000000.0,8289000000.0,7923000000.0,
Total Revenue,20245000000.0,20269000000.0,20555000000.0,20516000000.0,
Operating Revenue,20245000000.0,20269000000.0,20555000000.0,20516000000.0,
