,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,49912354.0,22506530.0,20771213.0,22122980.0,
Ordinary Shares Number,686622825.0,714028649.0,736535179.0,714412199.0,
Share Issued,736535179.0,736535179.0,757306392.0,736535179.0,
Net Debt,7598000000.0,7052000000.0,7614000000.0,8040000000.0,
Total Debt,8658000000.0,8537000000.0,8884000000.0,9563000000.0,
Tangible Book Value,-10866000000.0,-10140000000.0,-10760000000.0,-11469000000.0,
Invested Capital,15057000000.0,16658000000.0,17938000000.0,16634000000.0,
Working Capital,-3345000000.0,-3036000000.0,-3056000000.0,-3083000000.0,
Net Tangible Assets,-10866000000.0,-10140000000.0,-10760000000.0,-11469000000.0,
Capital Lease Obligations,300000000.0,327000000.0,389000000.0,328000000.0,
Common Stock Equity,6699000000.0,8448000000.0,9443000000.0,7399000000.0,
Total Capitalization,13713000000.0,15057000000.0,16295000000.0,14211000000.0,
Total Equity Gross Minority Interest,6720000000.0,8469000000.0,9483000000.0,7453000000.0,
Minority Interest,21000000.0,21000000.0,40000000.0,54000000.0,
Stockholders Equity,6699000000.0,8448000000.0,9443000000.0,7399000000.0,
Retained Earnings,21990000000.0,23409000000.0,23638000000.0,22490000000.0,
Additional Paid In Capital,254000000.0,254000000.0,254000000.0,253000000.0,
Capital Stock,74000000.0,74000000.0,74000000.0,74000000.0,
Common Stock,74000000.0,74000000.0,74000000.0,74000000.0,
Total Liabilities Net Minority Interest,18578000000.0,18667000000.0,19259000000.0,19493000000.0,
Total Non Current Liabilities Net Minority Interest,10635000000.0,10329000000.0,10918000000.0,11405000000.0,
Other Non Current Liabilities,24000000.0,22000000.0,74000000.0,81000000.0,
Derivative Product Liabilities,173000000.0,187000000.0,249000000.0,71000000.0,
Non Current Pension And Other Postretirement Benefit Plans,292000000.0,278000000.0,282000000.0,364000000.0,
Tradeand Other Payables Non Current,,28000000.0,54000000.0,961000000.0,1178000000.0
Non Current Deferred Taxes Liabilities,2849000000.0,2899000000.0,3037000000.0,2806000000.0,
Long Term Debt And Capital Lease Obligation,7235000000.0,6858000000.0,7163000000.0,7078000000.0,
Long Term Capital Lease Obligation,221000000.0,249000000.0,311000000.0,266000000.0,
Long Term Debt,7014000000.0,6609000000.0,6852000000.0,6812000000.0,
Long Term Provisions,62000000.0,57000000.0,59000000.0,44000000.0,
Current Liabilities,7943000000.0,8338000000.0,8341000000.0,8088000000.0,
Other Current Liabilities,477000000.0,296000000.0,,,
Current Debt And Capital Lease Obligation,1423000000.0,1679000000.0,1721000000.0,2485000000.0,
Current Capital Lease Obligation,79000000.0,78000000.0,78000000.0,62000000.0,
Current Debt,1344000000.0,1601000000.0,1643000000.0,2423000000.0,
Current Provisions,159000000.0,190000000.0,227000000.0,191000000.0,
Payables,3283000000.0,3217000000.0,3557000000.0,2412000000.0,
Other Payable,252000000.0,240000000.0,228000000.0,100000000.0,
Total Tax Payable,763000000.0,783000000.0,963000000.0,248000000.0,
Accounts Payable,2268000000.0,2194000000.0,2366000000.0,2064000000.0,
Total Assets,25298000000.0,27136000000.0,28742000000.0,26946000000.0,
Total Non Current Assets,20700000000.0,21834000000.0,23457000000.0,21941000000.0,
Defined Pension Benefit,269000000.0,270000000.0,294000000.0,355000000.0,
Non Current Deferred Taxes Assets,243000000.0,287000000.0,244000000.0,197000000.0,
Investmentin Financial Assets,108000000.0,114000000.0,82000000.0,194000000.0,
Available For Sale Securities,51000000.0,69000000.0,82000000.0,194000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,57000000.0,45000000.0,0.0,171000000.0,
Long Term Equity Investment,,4000000.0,4000000.0,23000000.0,22000000.0
Investmentsin Associatesat Cost,,4000000.0,4000000.0,23000000.0,22000000.0
Goodwill And Other Intangible Assets,17565000000.0,18588000000.0,20203000000.0,18868000000.0,
Other Intangible Assets,13744000000.0,14010000000.0,14594000000.0,13540000000.0,
Goodwill,3821000000.0,4578000000.0,5609000000.0,5328000000.0,
Net PPE,2385000000.0,2399000000.0,2473000000.0,2178000000.0,
Accumulated Depreciation,-2647000000.0,-2490000000.0,-2278000000.0,-1984000000.0,
Gross PPE,5032000000.0,4889000000.0,4751000000.0,4162000000.0,
Construction In Progress,348000000.0,329000000.0,394000000.0,408000000.0,
Other Properties,564000000.0,567000000.0,580000000.0,461000000.0,
