,2025-02-28,2024-02-29,2023-02-28,2022-02-28,2021-02-28
Tax Effect Of Unusual Items,16550790.06772,24770642.201835,8382000.0,22088000.0,
Tax Rate For Calcs,0.275847,0.229358,0.254,0.251,
Normalized EBITDA,4706000000.0,4711000000.0,3194000000.0,4315000000.0,
Total Unusual Items,60000000.0,108000000.0,33000000.0,88000000.0,
Total Unusual Items Excluding Goodwill,60000000.0,108000000.0,33000000.0,88000000.0,
Net Income From Continuing Operation Net Minority Interest,1600000000.0,1760000000.0,659000000.0,1521000000.0,
Reconciled Depreciation,1775000000.0,1723000000.0,1700000000.0,1718000000.0,
Reconciled Cost Of Revenue,64865000000.0,63338000000.0,61961000000.0,56711000000.0,
EBITDA,4766000000.0,4819000000.0,3227000000.0,4403000000.0,
EBIT,2991000000.0,3096000000.0,1527000000.0,2685000000.0,
Net Interest Income,-575000000.0,-576000000.0,-563000000.0,-643000000.0,
Interest Expense,776000000.0,807000000.0,645000000.0,652000000.0,
Interest Income,252000000.0,266000000.0,85000000.0,9000000.0,
Normalized Income,1556550790.06772,1676770642.201835,634382000.0,1455088000.0,
Net Income From Continuing And Discontinued Operation,1626000000.0,1188000000.0,737000000.0,1481000000.0,
Total Expenses,67183000000.0,65436000000.0,63918000000.0,58771000000.0,
Total Operating Income As Reported,2711000000.0,2821000000.0,1410000000.0,2560000000.0,
Diluted Average Shares,6918000000.0,7176000000.0,7482000000.0,7746000000.0,
Basic Average Shares,6835000000.0,7097000000.0,7415000000.0,7658000000.0,
Diluted EPS,0.2351,0.1656,0.0996,0.1912,
Basic EPS,0.2379,0.1674,0.1005,0.1934,
Diluted NI Availto Com Stockholders,1626000000.0,1188000000.0,737000000.0,1481000000.0,
Net Income Common Stockholders,1626000000.0,1188000000.0,737000000.0,1481000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1626000000.0,1188000000.0,737000000.0,1481000000.0,
Minority Interests,-4000000.0,-4000000.0,1000000.0,-2000000.0,
Net Income Including Noncontrolling Interests,1630000000.0,1192000000.0,736000000.0,1483000000.0,
Net Income Discontinuous Operations,26000000.0,-572000000.0,78000000.0,-40000000.0,
Net Income Continuous Operations,1604000000.0,1764000000.0,658000000.0,1523000000.0,
Tax Provision,611000000.0,525000000.0,224000000.0,510000000.0,
Pretax Income,2215000000.0,2289000000.0,882000000.0,2033000000.0,
Special Income Charges,-23000000.0,70000000.0,33000000.0,88000000.0,
Other Special Charges,6000000.0,-82000000.0,-75000000.0,-70000000.0,
Write Off,,7000000.0,17000000.0,-25000000.0,0.0
Impairment Of Capital Assets,12000000.0,7000000.0,17000000.0,-25000000.0,
Restructuring And Mergern Acquisition,5000000.0,5000000.0,25000000.0,7000000.0,
Net Non Operating Interest Income Expense,-575000000.0,-576000000.0,-563000000.0,-643000000.0,
Total Other Finance Cost,51000000.0,35000000.0,3000000.0,22000000.0,
Interest Expense Non Operating,776000000.0,807000000.0,645000000.0,652000000.0,
Interest Income Non Operating,252000000.0,266000000.0,85000000.0,9000000.0,
Operating Income,2733000000.0,2751000000.0,1404000000.0,2573000000.0,
Operating Expense,2318000000.0,2098000000.0,1957000000.0,2060000000.0,
Depreciation And Amortization In Income Statement,76000000.0,74000000.0,76000000.0,76000000.0,
Amortization,76000000.0,74000000.0,76000000.0,76000000.0,
Depreciation Income Statement,0.0,0.0,0.0,0.0,
Selling General And Administration,2242000000.0,2024000000.0,1881000000.0,1984000000.0,
General And Administrative Expense,2242000000.0,2024000000.0,1881000000.0,1984000000.0,
Gross Profit,5051000000.0,4849000000.0,3361000000.0,4633000000.0,
Cost Of Revenue,64865000000.0,63338000000.0,61961000000.0,56711000000.0,
Total Revenue,69916000000.0,68187000000.0,65322000000.0,61344000000.0,
Operating Revenue,69916000000.0,68187000000.0,65322000000.0,61344000000.0,
